id,date,store_nbr,family,sales,onpromotion
1,2015-01-01,1,AUTOMOTIVE,80.831,0
2,2015-01-02,1,AUTOMOTIVE,68.21,0
3,2015-01-03,1,AUTOMOTIVE,78.199,0
4,2015-01-04,1,AUTOMOTIVE,107.831,0
5,2015-01-05,1,AUTOMOTIVE,158.259,0
6,2015-01-06,1,AUTOMOTIVE,189.099,1
7,2015-01-07,1,AUTOMOTIVE,165.884,1
8,2015-01-08,1,AUTOMOTIVE,86.037,0
9,2015-01-09,1,AUTOMOTIVE,67.116,0
10,2015-01-10,1,AUTOMOTIVE,94.212,0
11,2015-01-11,1,AUTOMOTIVE,128.817,0
12,2015-01-12,1,AUTOMOTIVE,160.647,0
13,2015-01-13,1,AUTOMOTIVE,178.671,1
14,2015-01-14,1,AUTOMOTIVE,156.356,0
15,2015-01-15,1,AUTOMOTIVE,110.009,0
16,2015-01-16,1,AUTOMOTIVE,76.67,0
17,2015-01-17,1,AUTOMOTIVE,92.919,0
18,2015-01-18,1,AUTOMOTIVE,106.852,0
19,2015-01-19,1,AUTOMOTIVE,138.132,0
25,2015-01-25,1,AUTOMOTIVE,112.026,0
26,2015-01-26,1,AUTOMOTIVE,154.056,0
27,2015-01-27,1,AUTOMOTIVE,150.918,0
28,2015-01-28,1,AUTOMOTIVE,170.366,1
29,2015-01-29,1,AUTOMOTIVE,138.59,1
30,2015-01-30,1,AUTOMOTIVE,91.072,0
31,2015-01-31,1,AUTOMOTIVE,93.091,0
32,2015-02-01,1,AUTOMOTIVE,132.852,1
33,2015-02-02,1,AUTOMOTIVE,156.062,0
34,2015-02-03,1,AUTOMOTIVE,177.197,0
35,2015-02-04,1,AUTOMOTIVE,187.056,1
36,2015-02-05,1,AUTOMOTIVE,129.352,1
37,2015-02-06,1,AUTOMOTIVE,52.049,0
38,2015-02-07,1,AUTOMOTIVE,113.848,1
39,2015-02-08,1,AUTOMOTIVE,131.31,0
40,2015-02-09,1,AUTOMOTIVE,160.068,0
41,2015-02-10,1,AUTOMOTIVE,170.185,0
42,2015-02-11,1,AUTOMOTIVE,149.786,0
43,2015-02-12,1,AUTOMOTIVE,102.648,0
44,2015-02-13,1,AUTOMOTIVE,97.816,0
45,2015-02-14,1,AUTOMOTIVE,120.317,1
46,2015-02-15,1,AUTOMOTIVE,113.334,0
47,2015-02-16,1,AUTOMOTIVE,218.037,1
48,2015-02-17,1,AUTOMOTIVE,184.508,0
49,2015-02-18,1,AUTOMOTIVE,193.281,1
50,2015-02-19,1,AUTOMOTIVE,90.33,0
51,2015-02-20,1,AUTOMOTIVE,78.321,0
52,2015-02-21,1,AUTOMOTIVE,100.512,0
53,2015-02-22,1,AUTOMOTIVE,129.441,0
54,2015-02-23,1,AUTOMOTIVE,209.552,1
55,2015-02-24,1,AUTOMOTIVE,200.819,0
56,2015-02-25,1,AUTOMOTIVE,140.334,0
57,2015-02-26,1,AUTOMOTIVE,114.374,1
58,2015-02-27,1,AUTOMOTIVE,88.766,0
59,2015-02-28,1,AUTOMOTIVE,87.094,0
60,2015-03-01,1,AUTOMOTIVE,135.521,0
61,2015-03-02,1,AUTOMOTIVE,157.609,0
62,2015-03-03,1,AUTOMOTIVE,244.094,1
63,2015-03-04,1,AUTOMOTIVE,149.762,0
64,2015-03-05,1,AUTOMOTIVE,106.167,0
65,2015-03-06,1,AUTOMOTIVE,84.848,0
66,2015-03-07,1,AUTOMOTIVE,105.249,0
67,2015-03-08,1,AUTOMOTIVE,133.022,0
68,2015-03-09,1,AUTOMOTIVE,150.293,0
69,2015-03-10,1,AUTOMOTIVE,177.366,0
70,2015-03-11,1,AUTOMOTIVE,160.956,0
71,2015-03-12,1,AUTOMOTIVE,112.886,0
72,2015-03-13,1,AUTOMOTIVE,95.571,0
73,2015-03-14,1,AUTOMOTIVE,94.896,0
74,2015-03-15,1,AUTOMOTIVE,132.369,0
75,2015-03-16,1,AUTOMOTIVE,174.901,0
76,2015-03-17,1,AUTOMOTIVE,189.706,0
77,2015-03-18,1,AUTOMOTIVE,139.843,0
78,2015-03-19,1,AUTOMOTIVE,141.141,1
79,2015-03-20,1,AUTOMOTIVE,87.215,0
80,2015-03-21,1,AUTOMOTIVE,112.979,1
81,2015-03-22,1,AUTOMOTIVE,122.327,0
82,2015-03-23,1,AUTOMOTIVE,206.116,1
83,2015-03-24,1,AUTOMOTIVE,231.013,1
84,2015-03-25,1,AUTOMOTIVE,149.735,0
85,2015-03-26,1,AUTOMOTIVE,105.018,0
86,2015-03-27,1,AUTOMOTIVE,90.155,0
87,2015-03-28,1,AUTOMOTIVE,83.773,0
88,2015-03-29,1,AUTOMOTIVE,179.317,1
89,2015-03-30,1,AUTOMOTIVE,208.356,1
90,2015-03-31,1,AUTOMOTIVE,182.175,0
91,2015-04-01,1,AUTOMOTIVE,155.248,0
92,2015-04-02,1,AUTOMOTIVE,113.909,0
93,2015-04-03,1,AUTOMOTIVE,130.613,1
94,2015-04-04,1,AUTOMOTIVE,88.439,0
